pass,iML
94.444444,5.555556
50,50
95.833333,4.166667
33.333333,66.666667
100,0
75,25
100,0
50,50
100,0
70,30
25,75
66.666667,33.333333
50,50
100,0
100,0
50,50
75,25
100,0
50,50
75,25
60,40
10,90
100,0
50,50
95,5
95,5
86.666667,13.333333
46.666667,53.333333
100,0
33.333333,66.666667
86.666667,13.333333
83.333333,16.666667
82.857143,17.142857
55.555556,44.444444
42.857143,57.142857
100,0
42.857143,57.142857
37.142857,62.857143
14.285714,85.714286
75,25
75,25
100,0
50,50
75,25
25,75
100,0
75,25
75,25
75,25
75,25
97.222222,2.777778
70.833333,29.166667
78.571429,21.428571
100,0
, 
, 
, 
, 